"","Plant.ID","Date","Year","BLB","DOY"
"1",1,2013-05-07,2013,1,127
"2",1,2014-05-05,2014,1,125
"3",1,2015-05-04,2015,1,124
"4",1,2016-05-24,2016,1,145
"5",1,2017-04-17,2017,1,107
"6",1,2018-04-10,2018,1,100
"7",1,2019-05-02,2019,1,122
"8",1,2020-05-07,2020,1,128
"9",1,2021-05-18,2021,1,138
"10",1,2022-04-20,2022,1,110
"11",2,2013-05-09,2013,1,129
"12",2,2014-05-05,2014,1,125
"13",2,2015-05-04,2015,1,124
"14",2,2016-05-24,2016,1,145
"15",2,2017-04-17,2017,1,107
"16",2,2018-04-10,2018,1,100
"17",2,2019-04-30,2019,1,120
"18",2,2020-05-07,2020,1,128
"19",2,2021-05-18,2021,1,138
"20",2,2022-05-05,2022,1,125
"21",3,2013-05-07,2013,1,127
"22",3,2014-05-05,2014,1,125
"23",3,2015-05-04,2015,1,124
"24",3,2016-05-05,2016,1,126
"25",3,2017-04-17,2017,1,107
"26",3,2018-04-10,2018,1,100
"27",3,2019-05-06,2019,1,126
"28",3,2020-05-18,2020,1,139
"29",3,2022-04-28,2022,1,118
"30",4,2013-05-02,2013,1,122
"31",4,2014-05-05,2014,1,125
"32",4,2015-05-04,2015,1,124
"33",4,2016-05-24,2016,1,145
"34",4,2017-04-17,2017,1,107
"35",4,2018-04-10,2018,1,100
"36",4,2019-04-30,2019,1,120
"37",4,2020-05-04,2020,1,125
"38",4,2021-05-18,2021,1,138
"39",4,2022-05-12,2022,1,132
"40",5,2013-05-02,2013,1,122
"41",5,2014-05-05,2014,1,125
"42",5,2015-05-04,2015,1,124
"43",5,2016-05-24,2016,1,145
"44",5,2017-04-17,2017,1,107
"45",5,2018-04-10,2018,1,100
"46",5,2019-04-30,2019,1,120
"47",5,2020-05-07,2020,1,128
"48",5,2021-05-18,2021,1,138
"49",5,2022-05-12,2022,1,132
"50",6,2013-05-07,2013,1,127
"51",6,2014-05-05,2014,1,125
"52",6,2015-05-04,2015,1,124
"53",6,2016-05-24,2016,1,145
"54",6,2017-04-17,2017,1,107
"55",6,2018-04-10,2018,1,100
"56",6,2019-04-30,2019,1,120
"57",6,2020-05-04,2020,1,125
"58",6,2021-05-18,2021,1,138
"59",6,2022-05-05,2022,1,125
"60",7,2013-04-30,2013,1,120
"61",7,2014-03-31,2014,1,90
"62",7,2015-04-26,2015,1,116
"63",7,2016-04-28,2016,1,119
"64",7,2017-04-17,2017,1,107
"65",7,2018-04-10,2018,1,100
"66",7,2019-04-30,2019,1,120
"67",7,2020-04-30,2020,1,121
"68",7,2021-05-04,2021,1,124
"69",7,2022-04-20,2022,1,110
"70",8,2013-04-30,2013,1,120
"71",8,2014-04-02,2014,1,92
"72",8,2015-04-26,2015,1,116
"73",8,2016-04-28,2016,1,119
"74",8,2017-04-17,2017,1,107
"75",8,2018-04-10,2018,1,100
"76",8,2019-04-30,2019,1,120
"77",8,2020-04-30,2020,1,121
"78",8,2021-05-04,2021,1,124
"79",8,2022-04-20,2022,1,110
"80",9,2013-04-30,2013,1,120
"81",9,2014-03-31,2014,1,90
"82",9,2015-05-04,2015,1,124
"83",9,2016-05-05,2016,1,126
"84",9,2017-04-17,2017,1,107
"85",9,2018-04-10,2018,1,100
"86",9,2019-04-30,2019,1,120
"87",9,2020-04-30,2020,1,121
"88",9,2021-05-11,2021,1,131
"89",9,2022-04-28,2022,1,118
"90",10,2013-04-30,2013,1,120
"91",10,2014-04-23,2014,1,113
"92",10,2015-04-27,2015,1,117
"93",10,2016-04-28,2016,1,119
"94",10,2017-04-17,2017,1,107
"95",10,2018-04-10,2018,1,100
"96",10,2019-04-30,2019,1,120
"97",10,2020-04-30,2020,1,121
"98",10,2021-05-11,2021,1,131
"99",10,2022-05-05,2022,1,125
